# tag pevalue tag_id
ATO 18.030000 1054
ATO.PA 18.030000 1055
ATR 40.810000 1059
ATR.L 40.810000 1060
ATRI 36.810000 1063
ATRS 11.030000 1066
ATUS 26.510000 1074
ATVI 32.740000 1076
AU 14.580000 1081
AUB 16.280000 1082
AUBN 17.770000 1083
AUCOY 10.870000 1085
AUDC 34.350000 1087
AUOTY 11.470000 1093
AUY 23.820000 1104
AVA 20.890000 1108
AVAL 9.656000 1110
AVAV 88.410000 1113
AVB 36.180000 1114
AVD 31.170000 1118
AVGO 54.920000 1122
AVID 64.330000 1127
AVIFY 17.630000 1128
AVIR 130.160000 1129
AVNT 26.790000 1133
AVNW 4.009000 1134
AVO 45.660000 1135
AVT 27.890000 1139
AVTR 110.860000 1140
AVY 29.330000 1144
AWI 31.370000 1149
AWK 39.150000 1150
AWR 32.130000 1151
AWX 10.870000 1154
AX 13.820000 1155
AXAHY 19.320000 1156
AXP 26.290000 1164
AXS.L 30.480000 1166
AXS 30.480000 1167
AXTA 90.110000 1169
AXTI 63.620000 1170
AY 103.860000 1172
AYALY 31.240000 1174
AYI 27.720000 1175
AZN 37.470000 1185
AZN.L 37.470000 1186
AZO 17.840000 1187
AZPN 28.970000 1188
AZZ 34.960000 1193
B 51.370000 1194
BABA 26.710000 1202
BAC 18.190000 1204
BAESY 14.340000 1207
BAH 19.430000 1210
BAM 59.930000 1216
BANC 58.370000 1219
BANF 19.210000 1221
BANR 14.170000 1223
BAOS 10.290000 1226
BAP 51.970000 1227
BAX 39.480000 1242
BBAR 3.738000 1247
BBDC 3.687000 1253
BBL 22.090000 1265
BBSI 17.560000 1269
BBVA 8.968000 1274
BBVA 8.968000 1275
BBW 37.240000 1276
BBY.L 13.600000 1277
BBY 13.600000 1278
BC 17.120000 1279
BCBP 10.290000 1286
BCC 8.374000 1287
BCE 23.930000 1289
BCEI 36.720000 1290
BCH 18.110000 1292
BCML 14.030000 1298
BCO 147.860000 1301
BCOV 85.290000 1305
BCOW 46.080000 1306
BCPC 48.340000 1307
BCS 12.970000 1310
BCSF 6.702000 1312
BCTF 20.680000 1314
BDL 16.450000 1323
BDN 7.944000 1324
BDNNY 12.990000 1325
BDORY 7.258000 1326
BDRFY 41.890000 1328
BDSI 14.120000 1329
BDVSY 1127.990000 1333
BDX 43.040000 1334
BEBE 10.560000 1339
BEDU 51.380000 1341
BEKE 77.320000 1346
BELFA 10.630000 1348
BELFB 10.300000 1349
BEN 15.990000 1355
BERY 13.270000 1362
BFAM 2303.830000 1368
BFC 12.900000 1369
BFIN 19.900000 1371
BFLBY 8.225000 1373
BFS 39.690000 1376
BFST 13.330000 1379
BG 5.959000 1380
BG 5.959000 1381
BGAOY 10.510000 1382
BGCP 26.820000 1384
BGFV 8.222000 1388
BGS 15.150000 1394
BGS.L 15.150000 1395
BGSF 197.830000 1397
BH 1.728000 1400
BHAT 9.509000 1402
BHB 13.120000 1403
BHE 61.900000 1405
BHP 26.950000 1410
BHP.L 26.950000 1411
BHWB 9.615000 1416
BICEY 32.190000 1417
BIDU 9.420000 1419
BIG 3.833000 1421
BIIB 14.030000 1423
BIO 4.430000 1430
BIO 4.430000 1431
BIP 112.960000 1444
BJ 15.340000 1448
BK 13.890000 1450
BKE 10.400000 1453
BKGM 9.081000 1457
BKH 17.880000 1458
BKHYY 11.510000 1460
BKI 42.420000 1461
BKNG 138.100000 1462
BKSC 16.850000 1466
BKTI 78.200000 1468
BKU 13.850000 1469
BLBD 63.800000 1477
BLD 25.690000 1480
BLDR 13.060000 1483
BLHEY 16.960000 1485
BLK 25.410000 1489
BLKB 1250.330000 1490
BLL 36.040000 1491
BLSFY 43.790000 1501
BLX 10.390000 1509
BMA 2.605000 1510
BMI 54.300000 1516
BMNM 1.059000 1520
BMO 15.030000 1521
BMRC 14.280000 1524
BMRN 19.040000 1525
BMTC 15.720000 1528
BMWYY 9.740000 1534
BNCC 2.819000 1540
BNCDY 12.440000 1541
BNL 49.610000 1548
BNPQY 10.810000 1550
BNS 16.800000 1553
BNTGY 27.600000 1556
BNTX 35.700000 1557
BOCH.L 13.660000 1561
BOCH 13.660000 1562
BOH 19.990000 1564
BOKF 12.270000 1567
BOMN 7.537000 1571
BOOT.L 38.200000 1575
BOOT 38.200000 1576
BOREF 0.862000 1578
BOTJ 13.700000 1585
BOZTY 49.570000 1591
BPFH 22.880000 1600
BPMC 16.230000 1601
BPOP 9.370000 1602
BPOSY 248.220000 1604
BPRN 12.960000 1605
BR 36.160000 1612
BRBR 52.150000 1613
BRBS 7.686000 1614
BRC 23.170000 1617
BRDCY 13.640000 1619
BRFS 13.550000 1627
BRID 22.950000 1630
BRKL 14.410000 1635
BRKR 52.210000 1636
BRKS 81.670000 1637
BRLXF 84.680000 1641
BRMK 15.830000 1642
BRO 28.390000 1647
BROG 825.990000 1648
BRTHY 10.590000 1659
BRX 59.760000 1663
BSAC 14.410000 1665
BSBK 20.100000 1666
BSBR 24.520000 1667
BSEFY 509.930000 1671
BSIG 6.493000 1678
BSM 52.110000 1681
BSMX 9.560000 1682
BSRR 11.000000 1687
BSVN 8.681000 1690
BSX 425.500000 1691
BSY 110.400000 1692
BTBT 9.713000 1696
BTDPY 20.750000 1699
BTG 8.226000 1701
BTI 10.860000 1702
BTN 7.394000 1704
BTVCY 30.050000 1709
BUD 35.590000 1713
BUR 15.380000 1717
BUR.L 15.380000 1718
BURBY 23.980000 1719
BURL 76.090000 1721
BUSE 11.960000 1722
BVS 18.800000 1735
BW 50.710000 1740
BWA 28.050000 1741
BWB 16.530000 1744
BWFG 22.140000 1746
BWMX 95.460000 1749
BWXT 21.940000 1753
BX 16.940000 1755
BXBLY 28.390000 1756
BXC 3.417000 1757
BXP 40.120000 1759
BXS 11.410000 1761
BY 15.920000 1763
BYD 64.390000 1764
BYDDY 102.120000 1765
BZH 9.486000 1774
BZLFY 19.580000 1775
BZUN 37.560000 1777
BZZUY 8.962000 1778
C 10.360000 1779
CABGY 29.000000 1788
CABO 36.080000 1790
CAC 10.900000 1791
CACC 11.130000 1792
CACI 15.630000 1793
CADE 9.443000 1794
CAG 15.680000 1796
CAH 14.380000 1797
CAI 13.540000 1799
CAI 13.540000 1800
CAJ 24.790000 1801
CALB 23.350000 1807
CALM 25.480000 1809
CALX 47.650000 1811
CAMT 68.810000 1816
CANG 1.174000 1819
CAP.PA 1740.270000 1820
CAP 1740.270000 1821
CARA 41.180000 1829
CARG 37.130000 1832
CARR 17.870000 1833
CARR.L 17.870000 1834
CASA 26.300000 1838
CASH.L 14.770000 1839
CASH 14.770000 1840
CASS 26.840000 1842
CASY 24.670000 1843
CAT 38.570000 1844
CATC 15.820000 1846
CATM 90.530000 1848
CATY 13.020000 1850
CB 13.810000 1854
CBAN 11.480000 1856
