# ticker date stockPrice numberOfShares marketCapitalization minusCashAndCashEquivalents addTotalDebt enterpriseValue date revenuePerShare netIncomePerShare operatingCashFlowPerShare freeCashFlowPerShare cashPerShare bookValuePerShare tangibleBookValuePerShare shareholdersEquityPerShare interestDebtPerShare marketCap enterpriseValue peRatio priceToSalesRatio pocfratio pfcfRatio pbRatio ptbRatio evToSales enterpriseValueOverEBITDA evToOperatingCashFlow evToFreeCashFlow earningsYield freeCashFlowYield debtToEquity debtToAssets netDebtToEBITDA currentRatio interestCoverage incomeQuality dividendYield payoutRatio salesGeneralAndAdministrativeToRevenue researchAndDdevelopementToRevenue intangiblesToTotalAssets capexToOperatingCashFlow capexToRevenue capexToDepreciation stockBasedCompensationToRevenue grahamNumber roic returnOnTangibleAssets grahamNetNet workingCapital tangibleAssetValue netCurrentAssetValue investedCapital averageReceivables averagePayables averageInventory daysSalesOutstanding daysPayablesOutstanding daysOfInventoryOnHand receivablesTurnover payablesTurnover inventoryTurnover roe capexPerShare tag_id
AA 2020-12-31 18.000000 186226070.000000 3352069260.000000 1607000000.000000 2465000000.000000 4210069260.000000 2020-12-31 49.864125 -0.912869 2.115708 0.220163 8.634940 17.779466 25.914739 17.779466 14.020593 3352069260.000000 4210069260.000000 -19.718054 0.360981 8.507790 81.757787 1.012404 1.012404 0.453378 9.821626 10.685455 102.684616 -0.050715 0.012231 0.743884 0.662450 2.001619 1.637088 2.931507 -2.317647 0.000006 -0.000118 0.022184 0.002908 0.012786 -1.116147 -26.305949 -0.001850 0.002692 19.109742 0.035375 -0.011588 -38.232826 1759000000.000000 4826000000.000000 -5324000000.000000 0.744488 608000000.000000 1443500000.000000 1521000000.000000 21.854404 64.260886 64.031874 16.701439 5.679971 5.700286 -0.051344 -1.895546 223
AA4.L 2020-03-31 32.000000 642250000.000000 20552000000.000000 174316084.000000 0.000000 20377683916.000000 2020-03-31 0.269178 -0.052142 0.434826 0.434826 0.271415 0.984258 0.984258 0.984258 0.101228 20552000000.000000 20377683916.000000 -613.704403 118.880503 73.592701 73.592701 32.511807 32.511807 117.872193 None 72.968509 72.968509 -0.001629 0.013588 0.000000 0.682674 None None 0.000000 -8.339202 0.002578 -1.582207 0.008506 0.000000 0.000000 None None None 0.000000 1.074586 None -0.016811 -1.820613 None None None 0.000000 20221599.500000 None None 45.993773 None None 7.935857 None None -0.052976 0.000000 224
AAA.L 2019-12-31 0.400000 221302099.000000 88520839.600000 0.000000 0.000000 88520839.600000 2019-12-31 -0.002088 -0.003180 -0.001252 -0.001252 0.000000 0.002199 0.002199 0.002199 0.000000 88520839.600000 88520839.600000 -125.795401 -191.584473 -319.462562 -319.462562 181.905841 181.905841 -191.584473 None -319.462562 -319.462562 -0.007949 -0.003130 0.000000 0.213218 None None None 0.393772 None 0.000000 -0.522985 0.000000 0.000000 None None None 0.000000 0.012543 None -1.137722 -0.000332 None None None 0.000000 None None None -61.409481 None None -5.943708 None None -1.446045 0.000000 225
AAAP.L 2020-10-31 6.500000 19399198.000000 126094787.000000 45251.000000 678719.000000 126728255.000000 2020-10-31 0.091432 -0.053378 -0.005490 -0.005667 0.002333 -0.038040 -0.038040 -0.038040 0.039984 126094787.000000 126728255.000000 -121.773649 71.090983 -1183.910795 -1147.046184 -170.872185 -170.872185 71.448126 -182.748541 -1189.858460 -1152.808651 -0.008212 -0.000872 -0.919738 1.379505 -0.913493 0.316352 -7.549787 0.102857 None 0.000000 0.430398 0.000000 0.000000 31.115104 -518.174116 -11.195443 0.000000 0.213743 -2.569906 -0.532519 -0.131260 -1134655.000000 None -2157399.000000 -0.919738 None 1134172.000000 124533.500000 0.000000 405.521674 49.121146 None 0.900075 7.430608 1.403195 -0.000176 226
AAC 2018-12-31 2.320000 24602355.000000 57077463.600000 5409000.000000 343700000.000000 395368463.600000 2018-12-31 12.021735 -2.414566 -1.172815 -1.943025 0.219857 2.618164 9.806460 2.618164 15.279838 57077463.600000 395368463.600000 -0.960835 0.192984 -1.978147 -1.194014 0.886117 0.886117 1.336775 -48.203909 -13.702380 -8.270788 -1.040761 -0.837511 6.365237 0.906533 -41.244940 0.176967 -0.936934 0.485725 None 0.000000 0.637389 0.637389 0.466561 1.522719 -15.608370 -1.160272 0.013108 None -0.332350 -0.246222 -14.986370 -297481000.000000 -168742000.000000 -346040000.000000 None 55803000.000000 9043000.000000 None 59.063845 None None 6.179753 0.000000 None -0.922236 -0.770211 227
AACG 2020-12-31 1.310000 24236984.000000 31750449.040000 112723433.000000 6801000.000000 -74171983.960000 2020-12-31 6.690913 -3.804022 -1.150034 -1.352634 4.650885 8.186038 -4.377327 8.186038 0.280604 31750449.040000 -74171983.960000 -2.255639 1.282411 -7.461083 -0.968481 1.048187 1.048187 -0.457379 0.996344 2.661035 2.262461 -0.443333 -1.032545 0.000000 0.653856 1.422845 0.439967 None 0.302321 None 0.000000 0.617250 0.054465 0.530455 5.676385 -33.025276 -6.091922 0.010956 26.469739 -0.347007 -0.341120 -10.808516 -153943963.000000 -106093210.000000 -255433568.000000 0.034278 10885946.500000 None None 5.053390 0.000000 0.000000 72.228746 None None -0.464696 -0.202600 229
AAD.DE 2020-12-31 113.000000 5198237.000000 587400781.000000 29990000.000000 114880000.000000 672290781.000000 2020-12-31 53.894041 3.421545 7.826307 6.514709 5.769264 21.648686 -17.932811 21.648686 22.619207 587400781.000000 672290781.000000 33.026019 2.096707 14.438482 17.345365 5.219716 5.219716 2.399719 11.337113 16.525103 19.852083 0.030279 0.057652 0.681974 0.672624 1.431535 0.794349 11.466296 2.287361 None 0.000000 0.074948 0.000000 0.595183 -5.966999 -41.090349 -4.156791 0.000000 40.824242 0.120440 0.126222 -39.270814 -18721000.000000 -93219000.000000 -161817000.000000 1.020838 None 8806000.000000 None 0.000000 20.745981 0.000000 None 17.593769 None 0.158049 -1.311599 231
AADV.L 2020-12-31 73.500000 91755964.000000 6744063354.000000 15645000.000000 0.000000 6728418354.000000 2020-12-31 0.034821 0.031747 0.000000 -0.010343 0.170507 0.826747 0.826747 0.826747 0.000000 6744063354.000000 6728418354.000000 2315.160781 2110.817951 None -7106.494577 88.902613 88.902613 2105.921238 None None -7090.008803 0.000432 -0.000141 0.000000 0.007081 None None None 0.000000 0.000482 1.116032 0.088263 0.000000 0.000000 None None None 0.000000 0.768477 None 0.038128 0.164635 None None None 0.000000 145000.000000 19500.000000 None 0.342723 None None 1065.000000 0.000000 None 0.038400 0.000000 232
AAF.L 2021-03-31 76.000000 3585634531.000000 272508224356.000000 813000000.000000 3339000000.000000 275034224356.000000 2021-03-31 1.089905 0.094544 0.464632 0.209447 0.316820 0.949623 -0.339410 0.949623 1.051697 272508224356.000000 275034224356.000000 803.859069 69.730866 163.570363 362.860485 80.031784 80.031784 70.377232 152.204883 165.086569 366.224000 0.001244 0.002756 0.549486 0.664432 1.397897 0.543664 2.606481 4.914454 0.000620 0.498525 0.000000 0.000000 0.457366 -1.820765 -4.271038 -0.744262 0.000000 1.421293 0.173551 0.062523 -1.533759 -1599000000.000000 -1217000000.000000 -4734000000.000000 0.980617 None 391000000.000000 5000000.000000 0.000000 105.354890 2.014984 None 3.464481 181.142857 0.099559 -0.255185 233
AAIC 2020-12-31 3.620000 33415000.000000 120962300.000000 35102000.000000 260281000.000000 346141300.000000 2020-12-31 -1.648990 -2.026515 0.775520 0.775520 1.050486 7.370043 7.370043 7.370043 8.475146 120962300.000000 346141300.000000 -1.786318 -2.195283 4.667836 4.667836 0.491178 0.491178 -6.281942 7.618552 13.357309 13.357309 -0.559811 0.214232 0.676713 0.796872 4.956178 0.307561 1.773433 -0.382687 0.093542 -0.167095 -0.228943 0.000000 0.000000 None None None 0.018421 18.331635 0.036326 -0.055853 -27.602806 -64831000.000000 None -937323000.000000 1.056893 None None None -76.569119 None None -4.766935 0.000000 None -0.274967 0.000000 235
