# tag, name, tag_id
AEP.L, American Electric Power Co Inc, 435
AER, AerCap Holdings NV, 436
AERI, Aerie Pharmaceuticals Inc, 437
AES, The AES Corp, 438
AESE, Allied Esports Entertainment Inc, 439
AEVA, Aeva Technologies Inc, 441
AEXAY, Atos SE, 444
AEY, Addvantage Technologies Group Inc, 446
AEYE, AudioEye Inc, 447
AEZS, AEterna Zentaris Inc, 448
AFAP, AFA Protective Systems Inc, 450
AFAQ, AF Acquisition Corp, 451
AFBI, Affinity Bancshares Inc, 452
AFCG, AFC Gamma Inc, 454
AFG, American Financial Group Inc, 455
AFI, Armstrong Flooring Inc, 457
AFIB, Acutus Medical Inc, 458
AFIN, American Finance Trust Inc, 459
AFL, Aflac Inc, 460
AFMD, Affimed NV, 462
AFRM, Affirm Holdings Inc, 463
AFTPY, Afterpay Ltd, 464
AFYA, Afya Ltd, 467
AG, First Majestic Silver Corp, 468
AGAC, African Gold Acquisition Corp, 470
AGBA, AGBA Acquisition Ltd, 471
AGC, Altimeter Growth Corp, 473
AGCB, Altimeter Growth Corp 2, 474
AGCO, AGCO Corp, 475
AGE, AgeX Therapeutics Inc, 476
AGEN, Agenus Inc, 479
AGESY, Ageas SA/ NV, 481
AGFS, AgroFresh Solutions Inc, 483
AGFY, Agrify Corp, 485
AGGG.L, Antilia Group Corp, 487
AGGR, Agile Growth Corp, 488
AGIO, Agios Pharmaceuticals Inc, 490
AGL, Agilon Health Inc, 492
AGLE, Aeglea BioTherapeutics Inc, 493
AGLXY, AGL Energy Ltd, 494
AGM, Federal Agricultural Mortgage Corp, 495
AGM.L, Federal Agricultural Mortgage Corp, 496
AGMH, AGM Group Holdings Inc, 498
AGNC, AGNC Investment Corp, 500
AGO, Assured Guaranty Ltd, 501
AGOL, Andina Gold Corp, 502
AGR, Avangrid Inc, 503
AGR, Avangrid Inc, 504
AGR.L, Avangrid Inc, 505
AGRO, Adecoagro SA, 506
AGRO, Adecoagro SA, 507
AGRPY, Absa Group Ltd, 508
AGRX, Agile Therapeutics Inc, 510
AGS, PlayAGS Inc, 511
AGS, PlayAGS Inc, 512
AGTC, Applied Genetic Technologies Corp, 515
