# tag, name, tag_id
AWK, American Water Works Co Inc, 1150
AWR, American States Water Co, 1151
AWRE, Aware Inc, 1152
AWX, Avalon Holdings Corp, 1154
AX, Axos Financial Inc, 1155
AXAHY, AXA SA, 1156
AXAS, Abraxas Petroleum Corp, 1157
AXDX, Accelerate Diagnostics Inc, 1158
AXGN, Axogen Inc, 1159
AXL, American Axle & Mfg Holdings Inc, 1160
AXLA, Axcella Health Inc, 1161
AXNX, Axonics Inc, 1162
AXON, Axon Enterprise Inc, 1163
AXP, American Express Co, 1164
AXR, Amrep Corp, 1165
AXS.L, Axis Capital Holdings Ltd, 1166
AXS, Axis Capital Holdings Ltd, 1167
AXSM, Axsome Therapeutics Inc, 1168
AXTA, Axalta Coating Systems Ltd, 1169
AXTI, AXT Inc, 1170
AXU, Alexco Resource Corp, 1171
AY, Atlantica Sustainable Infrastructure PLC, 1172
AYAG, Amaya Global Hldgs Corp, 1173
AYALY, Ayala Corp, 1174
AYI, Acuity Brands Inc, 1175
AYLA, Ayala Pharmaceuticals Inc, 1176
AYRO, AYRO Inc, 1178
AYSI, Alloy Steel International Inc, 1179
AYTU, Aytu BioPharma Inc, 1180
AYX, Alteryx Inc, 1181
AZEK, The AZEK Co Inc, 1182
AZIHY, Azimut Holding SPA, 1183
AZN, AstraZeneca PLC, 1185
AZN.L, AstraZeneca PLC, 1186
AZO, AutoZone Inc, 1187
AZPN, Aspen Technology Inc, 1188
AZRE, Azure Power Global Ltd, 1189
AZRX, AzurRx BioPharma Inc, 1190
AZUL, Azul SA, 1191
AZYO, Aziyo Biologics Inc, 1192
AZZ, AZZ Inc, 1193
B, Barnes Group Inc, 1194
BA, Boeing Co, 1197
BA..L, Boeing Co, 1198
BABA, Alibaba Group Holding Ltd, 1202
BAC, Bank of America Corp, 1204
BAESY, BAE Systems PLC, 1207
BAH, Booz Allen Hamilton Holding Corp, 1210
BAK, Braskem SA, 1211
BALY, Ballys Corp, 1215
BAM, Brookfield Asset Management Inc, 1216
BANC, Banc of California Inc, 1219
BAND, Bandwidth Inc, 1220
BANF, BancFirst Corp, 1221
BANI, Banneker Inc, 1222
BANR, Banner Corp, 1223
BANT, Bantec Inc, 1224
BAOS, Baosheng Media Group Holdings Ltd, 1226
BAP, Credicorp Ltd, 1227
BARK.L, The Original BARK Co, 1231
BASFY, Basf SE, 1237
BATL, Battalion Oil Corp, 1239
BAX, Baxter International Inc, 1242
BAYRY, Bayer AG, 1244
BB, BlackBerry Ltd, 1245
BBAR, Banco BBVA Argentina SA, 1247
BBBK, Baker Boyer Bancorp, 1249
BBBY, Bed Bath & Beyond Inc, 1250
BBCP, Concrete Pumping Holdings Inc, 1251
BBD, Bank Bradesco SA, 1252
BBDC, Barings BDC Inc, 1253
BBDO, Bank Bradesco SA, 1254
BBGI, Beasley Broadcast Group Inc, 1257
BBGI.L, Beasley Broadcast Group Inc, 1258
BBI, Brickell Biotech Inc, 1260
BBIG, Vinco Ventures Inc, 1261
BBIO, BridgeBio Pharma Inc, 1263
BBKCF, BIGG Digital Assets Inc, 1264
BBL, BHP Group PLC, 1265
BBQ, BBQ Holdings Inc, 1268
BBSI, Barrett Business Services Inc, 1269
BBVA, Banco Bilbao Vizcaya Argentaria SA, 1274
BBVA, Banco Bilbao Vizcaya Argentaria SA, 1275
BBW, Build-A-Bear Workshop Inc, 1276
BBY.L, Best Buy Co Inc, 1277
BBY, Best Buy Co Inc, 1278
BC, Brunswick Corp, 1279
BCAB, BioAtla Inc, 1281
BCAC, Brookline Capital Acquisition Corp, 1282
BCAL, Southern Calif Bancorp, 1283
BCBP, BCB Bancorp Inc, 1286
BCC, Boise Cascade Co, 1287
BCDA, BioCardia Inc, 1288
BCE, BCE Inc, 1289
BCEI, Bonanza Creek Energy Inc, 1290
BCEL, Atreca Inc, 1291
BCH, Banco De Chile, 1292
BCLI, Brainstorm Cell Therapeutics Inc, 1297
BCML, BayCom Corp, 1298
BCNAY, Barco NV, 1300
BCO, The Brink's Co, 1301
BCOR, Blucora Inc, 1304
BCOV, Brightcove Inc, 1305
BCOW, 1895 Bancorp of Wisconsin Inc, 1306
BCPC, Balchem Corp, 1307
BCRX, BioCryst Pharmaceuticals Inc, 1309
BCS, Barclays PLC, 1310
BCSF, Bain Capital Specialty Finance Inc, 1312
BCTF, Bancorp 34 Inc, 1314
BCTG, BCTG Acquisition Corp, 1315
BCTX, BriaCell Therapeutics Corp, 1316
BCUCY, Brunello Cucinelli SpA, 1317
BCYC, Bicycle Therapeutics PLC, 1319
BCYP, Big Cypress Acquisition Corp, 1320
BDC, Belden Inc, 1321
BDL, Flanigan'S Enterprises Inc, 1323
BDN, Brandywine Realty Trust, 1324
BDNNY, Boliden AB, 1325
BDORY, Banco do Brasil SA BB Brasil, 1326
BDR, Blonder Tongue Laboratories Inc, 1327
BDRFY, Beiersdorf AG, 1328
BDSI, BioDelivery Sciences International Inc, 1329
BDSX, Biodesix Inc, 1330
BDTX, Black Diamond Therapeutics Inc, 1332
BDVSY, Bidvest Group Ltd, 1333
BDX, Becton, Dickinson and Co, 1334
BE, Bloom Energy Corp, 1335
BEAM, Beam Therapeutics Inc, 1337
BEBE, bebe stores Inc, 1339
BECN, Beacon Roofing Supply Inc, 1340
BEDU, Bright Scholar Education Holdings Ltd, 1341
BEEM, Beam Global, 1342
BEKE, KE Holdings Inc, 1346
BELFA, Bel Fuse Inc, 1348
BELFB, Bel Fuse Inc, 1349
BELP, Belpointe REIT Inc, 1350
BELR, Bell Rose Capital Inc, 1351
BEN, Franklin Resources Inc, 1355
BENE, Benessere Capital Acquisition Corp, 1356
BENE.L, Benessere Capital Acquisition Corp, 1357
BEOB, BEO Bancorp OR, 1358
BEP, Brookfield Renewable Partners LP, 1359
BERI.L, Blue Earth Resources Inc, 1360
BERK, Berkshire Bancorp Inc, 1361
BERY, Berry Global Group Inc, 1362
BEST, BEST Inc, 1364
BFAM, Bright Horizons Family Solutions Inc, 1368
BFC, Bank First Corp, 1369
BFI, BurgerFi International Inc, 1370
BFIN, BankFinancial Corp, 1371
BFLBY, Bilfinger SE, 1373
BFLY, Butterfly Network Inc, 1374
BFRA, Biofrontera AG, 1375
BFS, Saul Centers Inc, 1376
BFST, Business First Bancshares Inc, 1379
BG, Bunge Ltd, 1380
BG, Bunge Ltd, 1381
BGAOY, Proximus SA, 1382
BGCP, BGC Partners Inc, 1384
BGFV, Big 5 Sporting Goods Corp, 1388
BGI, Birks Group Inc, 1390
BGNE, BeiGene Ltd, 1392
BGS, B&G Foods Inc, 1394
BGS.L, B&G Foods Inc, 1395
BGSF, BGSF Inc, 1397
BGSX, Build Acquisition Corp, 1398
BH, Biglari Holdings Inc, 1400
BHAT, Blue Hat Interactive Entertainment Technology, 1402
BHB, Bar Harbor Bankshares Inc, 1403
BHC, Bausch Health Companies Inc, 1404
BHE, Benchmark Electronics Inc, 1405
BHF, Brighthouse Financial Inc, 1406
BHLB, Berkshire Hills Bancorp Inc, 1408
BHP, BHP Group Ltd, 1410
BHP.L, BHP Group Ltd, 1411
BHRB, Burke & Herbert Bank & Trust Co, 1412
BHSE, Bull Horn Holdings Corp, 1413
BHTG, BioHiTech Global Inc, 1414
BHVN, Biohaven Pharmaceutical Holding Co Ltd, 1415
BHWB, Blackhawk Bancorp Inc, 1416
BICEY, Bic, 1417
BIDU, Baidu Inc, 1419
BIG, Big Lots Inc, 1421
BIGC, BigCommerce Holdings Inc, 1422
BIIB, Biogen Inc, 1423
BILI, Bilibili Inc, 1426
BILL, Bill.com Holdings Inc, 1427
BIMI, BOQI International Medical Inc, 1429
BIO, Bio-Rad Laboratories Inc, 1430
BIO, Bio-Rad Laboratories Inc, 1431
BIOC, Biocept Inc, 1434
BIOL, Biolase Inc, 1436
BIOQ, Bioqual Inc, 1440
BIOT, Biotech Acquisition Co, 1441
BIOT.L, Biotech Acquisition Co, 1442
BIOX, Bioceres Crop Solutions Corp, 1443
BIP, Brookfield Infrastructure Partners LP, 1444
BITE, Bite Acquisition Corp, 1446
BIVI, BioVie Inc, 1447
BJ, BJ's Wholesale Club Holdings Inc, 1448
BJRI, BJ's Restaurants Inc, 1449
BK, Bank of New York Mellon Corp, 1450
BKCC, BlackRock Capital Investment Corp, 1451
BKD, Brookdale Senior Living Inc, 1452
BKE, Buckle Inc, 1453
BKFG, BKF Capital Group Inc, 1454
BKGFY, Berkeley Group Holdings (The) PLC, 1456
BKGM, BankGuam Holding Co, 1457
BKH, Black Hills Corp, 1458
BKHYY, Bank Hapoalim BM, 1460
BKI, Black Knight Inc, 1461
BKNG, Booking Holdings Inc, 1462
BKOR, Oak Ridge Financial Services Inc, 1463
BKR, Baker Hughes Co, 1464
BKSC, Bank of South Carolina Corp, 1466
BKTI, BK Technologies Corp, 1468
BKU, BankUnited Inc, 1469
BKUH, Bakhu Holdings Corp, 1470
BKUT, Bank Of Utica (ny), 1471
BKUTK, Bank Of Utica (ny), 1472
BKYI, BIO-key International Inc, 1475
BL, BlackLine Inc, 1476
BLBD, Blue Bird Corp, 1477
BLCM, Bellicum Pharmaceuticals Inc, 1478
BLCT, BlueCity Holdings Ltd, 1479
BLD, TopBuild Corp, 1480
BLDE, Blade Air Mobility Inc, 1481
BLDP, Ballard Power Systems Inc, 1482
BLDR, Builders FirstSource Inc, 1483
BLFS, BioLife Solutions Inc, 1484
BLHEY, Baloise Holding AG, 1485
BLHK, BlueHarbor Bank, 1486
BLI, Berkeley Lights Inc, 1487
BLIN, Bridgeline Digital Inc, 1488
BLK, BlackRock Inc, 1489
BLKB, Blackbaud Inc, 1490
BLL, Ball Corp, 1491
BLMN, Bloomin Brands Inc, 1492
BLNK, Blink Charging Co, 1494
BLPH, Bellerophon Therapeutics Inc, 1497
BLRX, BioLine Rx Ltd, 1498
BLSA, BCLS Acquisition Corp, 1500
BLSFY, BlueScope Steel Ltd, 1501
BLTS, Bright Lights Acquisition Corp, 1503
BLUE, bluebird bio Inc, 1504
BLUW, Blue Water Acquisition Corp, 1506
BLX, Banco Latinoamericano de Comercio Exterior SA, 1509
BMA, Banco Macro SA, 1510
BMBL, Bumble Inc, 1511
BMBN, Benchmark Bankshares Inc, 1512
BMEA, Biomea Fusion Inc, 1515
BMI, Badger Meter Inc, 1516
BMMJ, Body and Mind Inc, 1518
BMNM, Bimini Capital Management Inc, 1520
BMO, Bank of Montreal, 1521
BMRA, Biomerica Inc, 1523
BMRC, Bank of Marin Bancorp, 1524
BMRN, Biomarin Pharmaceutical Inc, 1525
BMRRY, B&M European Value Retail SA, 1526
BMTC, Bryn Mawr Bank Corp, 1528
BMTX, BM Technologies Inc, 1529
BMWYY, Bayerische Motoren Werke AG, 1534
BMY, Bristol-Myers Squibb Co, 1535
BMY.L, Bristol-Myers Squibb Co, 1536
BNCC, BNCCORP Inc, 1540
BNCDY, Banca Mediolanum, 1541
BNED, Barnes & Noble Education Inc, 1542
BNFT, Benefitfocus Inc, 1543
BNGO, Bionano Genomics Inc, 1544
BNL, Broadstone Net Lease Inc, 1548
BNPQY, BNP Paribas, 1550
BNR.DE, Burning Rock Biotech Ltd, 1551
BNR, Burning Rock Biotech Ltd, 1552
BNS, Bank of Nova Scotia, 1553
BNSO, Bonso Electronics International Inc, 1554
BNTC, Benitec Biopharma Inc, 1555
BNTGY, Brenntag SE, 1556
BNTX, BioNTech SE, 1557
BOAC, Bluescape Opportunities Acquisition Corp, 1559
BOAS, BOA Acquisition Corp, 1560
BOCH.L, Bank of Commerce Holdings Inc, 1561
BOCH, Bank of Commerce Holdings Inc, 1562
BOH, Bank of Hawaii Corp, 1564
BOKF, BOK Financial Corp, 1567
BOLT, Bolt Biotherapeutics Inc, 1570
BOMN, Boston Omaha Corp, 1571
BOOM.L, DMC Global Inc, 1573
BOOM, DMC Global Inc, 1574
BOOT.L, Boot Barn Holdings Inc, 1575
BOOT, Boot Barn Holdings Inc, 1576
BOREF, Borealis Exploration Ltd, 1578
BORR, Borr Drilling Ltd, 1579
BORT, Bank of Botetourt Buchanan VA, 1580
BOSC, BOS Better Online Solutions Ltd, 1581
BOSSY, Hugo Boss AG, 1583
BOTJ, Bank of the James Financial Group Inc, 1585
BOWX, BowX Acquisition Corp, 1587
BOX, Box Inc, 1588
BOXL, Boxlight Corp, 1589
BOZTY, Boozt AB, 1591
BP.L, BP PLC, 1592
BP, BP PLC, 1593
BP.A.L, BP PLC, 1594
BP.B.L, BP PLC, 1595
BPFH, Boston Private Financial Holdings Inc, 1600
BPMC, Blueprint Medicines Corp, 1601
BPOP, Popular Inc, 1602
BPOSY, Bpost SA de Droit Public, 1604
