# ticker stockPrice numberOfShares marketCapitalization minusCashAndCashEquivalents addTotalDebt enterpriseValue dividendYielTTM dividendYielPercentageTTM peRatioTTM pegRatioTTM payoutRatioTTM currentRatioTTM quickRatioTTM cashRatioTTM daysOfSalesOutstandingTTM daysOfInventoryOutstandingTTM operatingCycleTTM daysOfPayablesOutstandingTTM cashConversionCycleTTM grossProfitMarginTTM operatingProfitMarginTTM pretaxProfitMarginTTM netProfitMarginTTM effectiveTaxRateTTM returnOnAssetsTTM returnOnEquityTTM returnOnCapitalEmployedTTM netIncomePerEBTTTM ebtPerEbitTTM ebitPerRevenueTTM debtRatioTTM debtEquityRatioTTM longTermDebtToCapitalizationTTM totalDebtToCapitalizationTTM interestCoverageTTM cashFlowToDebtRatioTTM companyEquityMultiplierTTM receivablesTurnoverTTM payablesTurnoverTTM inventoryTurnoverTTM fixedAssetTurnoverTTM assetTurnoverTTM operatingCashFlowPerShareTTM freeCashFlowPerShareTTM cashPerShareTTM operatingCashFlowSalesRatioTTM freeCashFlowOperatingCashFlowRatioTTM cashFlowCoverageRatiosTTM shortTermCoverageRatiosTTM capitalExpenditureCoverageRatioTTM dividendPaidAndCapexCoverageRatioTTM priceBookValueRatioTTM priceToBookRatioTTM priceToSalesRatioTTM priceEarningsRatioTTM priceToFreeCashFlowsRatioTTM priceToOperatingCashFlowsRatioTTM priceCashFlowRatioTTM priceEarningsToGrowthRatioTTM priceSalesRatioTTM dividendYieldTTM enterpriseValueMultipleTTM priceFairValueTTM tag_id
AAA.L 0.400000 221302099.000000 88520839.600000 0.000000 0.000000 88520839.600000 None None -17941.506495 640.768089 None None None None 0.000000 None None None None 0.000000 0.000000 1.582167 1.582167 0.000000 -0.048197 -0.149048 None 1.000000 None 0.000000 0.003040 0.003049 None None None None 1.003049 None None None None -0.030463 -0.001203 -0.001203 0.046307 0.638002 1.000000 None None None None 867.365177 867.365177 -28386.467616 -17941.506495 -44492.787742 -44492.787742 -44492.787742 640.768089 -28386.467616 None None 867.365177 225
AAAP.L 6.500000 19399198.000000 126094787.000000 45251.000000 678719.000000 126728255.000000 None None -353.362829 1.343004 None 0.316352 0.027264 0.027264 0.000000 55.434689 55.434689 457.643395 -443.974568 0.335544 -0.243525 -0.198179 -0.198179 0.000000 -0.183513 7.323446 -1.539671 1.000000 0.813794 -0.243525 1.379505 -3.635014 -11.459234 None -4.912280 None -2.635014 None 0.797564 6.584325 4.239495 0.925999 -0.018202 -0.018411 0.002333 -0.196103 1.011457 None None 87.283278 None -170.872185 -170.872185 70.029044 -353.362829 -353.058342 -357.103314 -357.103314 1.343004 70.029044 None -310.562607 -170.872185 226
AACG 8.580500 24236984.000000 207965441.212000 112723433.000000 6801000.000000 102043008.212000 None None -8.948767 -0.364908 None 0.439967 0.418245 0.410077 5.053390 0.000000 1.246041 0.000000 5.053390 0.392474 -0.643519 -0.473105 -0.358067 0.133844 -0.100877 -0.237139 -0.347007 0.756843 0.735184 -0.643519 0.653856 1.896996 None None None None 2.901245 72.228745 None None 2.029674 0.281726 4.406879 3.944456 3.907484 0.783942 0.895068 None 18.692839 -9.529985 None 2.619019 2.619019 3.204255 -8.948767 4.566536 4.087360 4.087360 -0.364908 3.204255 None -3.162347 2.619019 229
AAD.DE 113.000000 5198237.000000 587400781.000000 29990000.000000 114880000.000000 672290781.000000 None None 41.285123 -1.591526 None 0.847950 0.347208 0.347208 0.000000 0.000000 0.000000 20.750491 -20.750491 0.501668 0.120261 0.108936 0.070952 0.287285 0.057570 0.205555 0.134053 0.651314 0.905827 0.120261 0.660560 1.969897 0.373545 0.476435 11.300226 0.483806 2.982162 None 17.589945 None 4.148909 0.811403 9.279643 8.001690 5.937991 0.181943 0.862284 0.483806 1.403441 -7.261334 None 7.087990 7.087990 2.929243 41.285123 18.671055 16.099757 16.099757 -1.591526 2.929243 None 14.446712 7.087990 231
AADV.L 73.500000 91755964.000000 6744063354.000000 15645000.000000 0.000000 6728418354.000000 0.051923 5.192308 1321.630184 -394.086091 68.623106 None None None 0.216062 None None None None 0.000000 0.000000 0.948944 0.948944 0.000000 0.062948 0.066235 None 1.000000 None 0.000000 0.007081 0.007132 None None None None 1.007132 1689.333333 0.000000 None None 0.066335 0.000000 -0.009017 0.191992 0.000000 None None None None None 83.787685 83.787685 1254.153504 1321.630184 -8650.629411 None None -394.086091 1254.153504 0.051923 None 83.787685 232
AAF.L 40.200001 3585634531.000000 144142511731.834534 1016000000.000000 2512000000.000000 145638511731.834534 0.051369 5.136940 1028.686869 -173.452432 52.843030 0.562393 0.356039 0.334287 0.000000 1.776156 1.776156 110.417680 -109.979724 0.668102 0.273755 0.169852 0.079946 0.575277 0.030009 0.087167 0.158832 0.470681 0.620452 0.273755 0.667273 1.964307 0.355074 0.505952 2.748649 0.441185 2.943783 None 3.305630 205.500000 1.253374 0.375366 0.399737 0.205789 0.327368 0.408883 0.514812 0.441185 0.954146 -2.061058 -2.061058 90.874479 90.874479 82.239569 1028.686869 390.690537 201.132324 201.132324 -173.452432 82.239569 0.051369 182.884730 90.874479 233
AAIC 3.620000 36000000.000000 130320000.000000 35102000.000000 260281000.000000 355499000.000000 None None 6.089123 -0.008615 None None None None 0.000000 None None None None 0.329778 1.127766 1.354770 1.354770 0.000000 0.025160 0.084675 None 1.000000 1.201286 1.127766 0.728886 2.688484 0.233791 None -0.257613 None 3.688484 None None None None 0.018571 1.327877 1.327877 1.442406 2.704724 1.000000 None None None None 0.565086 0.565086 8.249360 6.089123 3.049982 3.049982 3.049982 -0.008615 8.249360 None 14.143794 0.565086 235
AAL 17.170000 509049000.000000 8740371330.000000 245000000.000000 32593000000.000000 41088371330.000000 None None -1.800765 0.002870 None 1.043616 0.865978 0.015981 27.621775 26.773880 33.584728 26.224837 7.998717 -0.761593 -0.984647 -0.789962 -0.615229 0.221192 -0.114991 1.343145 -0.246200 0.778808 0.802280 -0.984647 1.115734 -9.640529 1.271142 1.250268 -9.421327 -0.156232 -8.640529 13.214212 13.918103 13.632690 0.329871 0.186907 -9.771371 -11.525207 22.122283 -0.483283 1.179487 -0.156232 -2.537234 21.757895 None -1.789206 -1.789206 1.107883 -1.800765 -1.943566 -2.292411 -2.292411 0.002870 1.107883 None -4.336609 -1.789206 238
AALB.AS 37.189999 110580102.000000 4112473882.799898 55800000.000000 71300000.000000 4127973882.799898 0.017275 1.727489 22.379393 -0.466223 0.386601 1.151730 0.064778 0.064778 0.000000 153.096111 153.096111 102.937753 -65.188027 0.530985 0.114466 0.106312 0.081123 0.225261 0.070295 0.130208 0.134880 0.763068 0.928765 0.114466 0.445103 0.816696 None None 13.902045 None 1.834846 None 3.545832 2.384123 2.860170 0.866521 3.289923 1.912641 0.504612 0.128975 0.581363 None 5.102384 -2.388707 -2.388707 2.886514 2.886514 1.815494 22.379393 24.212598 14.076318 14.076318 -0.466223 1.815494 0.017275 10.581921 2.886514 239
AAMC 21.350000 1589952.000000 33945475.200000 41623000.000000 0.000000 -7677524.800000 None None 0.662656 0.000437 None 7.372863 7.050672 3.176358 151.061947 0.000000 37.248151 223.682871 -72.620925 -0.810401 -1.959995 -1.161232 4.827373 -0.090510 0.399200 -0.198136 -0.186594 -4.157115 0.592467 -1.959995 2.669921 -1.598831 None None None None -0.598831 2.416227 1.631774 None 12.574695 0.082695 11.290049 11.237864 53.991505 2.255546 0.995378 None None -182.411765 None -0.158410 -0.158410 3.198886 0.662656 1.424817 1.418231 1.418231 0.000437 3.198886 None 0.551108 -0.158410 240
