# ticker stockPrice numberOfShares marketCapitalization minusCashAndCashEquivalents addTotalDebt enterpriseValue dividendYielTTM dividendYielPercentageTTM peRatioTTM pegRatioTTM payoutRatioTTM currentRatioTTM quickRatioTTM cashRatioTTM daysOfSalesOutstandingTTM daysOfInventoryOutstandingTTM operatingCycleTTM daysOfPayablesOutstandingTTM cashConversionCycleTTM grossProfitMarginTTM operatingProfitMarginTTM pretaxProfitMarginTTM netProfitMarginTTM effectiveTaxRateTTM returnOnAssetsTTM returnOnEquityTTM returnOnCapitalEmployedTTM netIncomePerEBTTTM ebtPerEbitTTM ebitPerRevenueTTM debtRatioTTM debtEquityRatioTTM longTermDebtToCapitalizationTTM totalDebtToCapitalizationTTM interestCoverageTTM cashFlowToDebtRatioTTM companyEquityMultiplierTTM receivablesTurnoverTTM payablesTurnoverTTM inventoryTurnoverTTM fixedAssetTurnoverTTM assetTurnoverTTM operatingCashFlowPerShareTTM freeCashFlowPerShareTTM cashPerShareTTM operatingCashFlowSalesRatioTTM freeCashFlowOperatingCashFlowRatioTTM cashFlowCoverageRatiosTTM shortTermCoverageRatiosTTM capitalExpenditureCoverageRatioTTM dividendPaidAndCapexCoverageRatioTTM priceBookValueRatioTTM priceToBookRatioTTM priceToSalesRatioTTM priceEarningsRatioTTM priceToFreeCashFlowsRatioTTM priceToOperatingCashFlowsRatioTTM priceCashFlowRatioTTM priceEarningsToGrowthRatioTTM priceSalesRatioTTM dividendYieldTTM enterpriseValueMultipleTTM priceFairValueTTM tag_id
ADUS 112.550003 15596000.000000 1755329846.788000 145078000.000000 194872000.000000 1805123846.788000 None None 45.089268 1.452287 None 2.329957 2.266581 1.063165 66.511577 0.000000 16.400115 15.617597 50.893980 0.296975 0.059005 0.054921 0.042788 0.220915 0.038024 0.065077 0.060588 0.779085 0.930785 0.059005 0.396167 0.656087 0.267826 0.268808 13.158707 0.362418 1.656087 5.487766 23.371073 None 13.528215 0.888653 4.498726 4.173442 7.999681 0.090533 0.927694 0.362418 72.636831 -13.830167 None 2.839319 2.839319 1.929297 45.089268 22.971446 21.310479 21.310479 1.452287 1.929297 None 26.774770 2.839319 404
ADV.L 0.115000 1107577000.000000 127371355.000000 562000.000000 0.000000 126809355.000000 None None -2123.380764 -23.593120 None 0.464527 0.440878 0.440878 None None None None None None None None None 0.000000 -4.476364 15.387500 0.996845 1.000000 3.895570 None 2.152727 -1.867508 None None -7.181818 None -0.867508 None 0.000000 None None 0.000000 -0.001295 -0.001295 0.000236 None 1.000000 None None None None -8245.683659 -8245.683659 None -2123.380764 -1822.790600 -1822.790600 -1822.790600 -23.593120 None None -8270.951646 -8245.683659 405
ADV 26.200001 313425182.000000 8211740081.825182 40268000.000000 2692733000.000000 10864205081.825182 None None -171.924542 -5.596588 None 1.482917 1.355264 0.188626 156.999868 0.000000 38.712296 34.030505 122.969363 0.189526 0.049648 -0.038719 -0.023082 0.406802 -0.003740 -0.052686 0.008557 0.596137 -0.779861 0.049648 0.709830 2.499534 0.609948 0.618356 None 0.007913 3.521316 2.324843 10.725671 None 13.816155 0.162055 0.069302 0.019785 0.214511 0.022468 0.285484 0.007913 0.227003 -1.399549 None 2.264496 2.264496 3.968294 -171.924542 618.662188 176.618214 176.618214 -5.596588 3.968294 None 48.782867 2.264496 406
ADV.DE 9.050000 50278336.000000 455018940.800000 63187000.000000 62621000.000000 454452940.800000 None None 13.465090 0.073153 None 1.956076 0.569757 0.569757 0.000000 93.405312 93.405312 55.792915 -32.761469 0.363779 0.079087 0.073873 0.067234 0.089870 0.073964 0.147299 0.118320 0.910130 0.934076 0.079087 0.466602 0.874772 0.144339 0.183100 17.700039 1.807096 1.874772 None 6.542049 3.907701 10.503269 1.100098 2.243058 1.189009 1.565647 0.196390 0.530084 1.807096 7.304250 -2.128039 None 1.867151 1.867151 0.905315 13.465090 8.696321 4.609779 4.609779 0.073153 0.905315 None 7.912680 1.867151 407
ADVIC.PA 9.960000 8163392.000000 81307384.320000 14403844.000000 2268562.000000 69172102.320000 None None -7.291488 0.042648 None 3.423419 2.765040 2.735574 0.000000 16.865728 16.865728 136.478840 -132.320167 -5.539927 -6.904745 -6.839027 -6.367819 0.068614 -0.459651 -0.579463 -0.675130 0.931100 0.990482 -6.904745 0.621380 1.641167 0.452067 0.458115 -1713.183168 -1.140311 2.641167 None 2.674407 21.641520 0.739145 0.072183 -1.113018 -1.127136 2.207048 -5.056594 1.012684 -1.140311 -47.322917 78.837310 None 8.851975 8.851975 46.430877 -7.291488 -9.067232 -9.182244 -9.182244 0.042648 46.430877 None -6.198938 8.851975 408
ADVM 12.330000 64102000.000000 790377660.000000 62424000.000000 0.000000 727953660.000000 None None -2.722571 0.033407 None 20.815390 20.589766 2.990944 None None None None None None None None None 0.000000 -0.243504 -0.316395 -0.255471 1.009571 0.986799 None 0.099924 0.111017 None None None None 1.111017 None 0.000000 None 0.000000 0.000000 -0.892243 -1.025521 4.835642 None 1.149374 None None 6.694613 None 0.736557 0.736557 None -2.722571 -3.510410 -4.034773 -4.034773 0.033407 None None -2.262876 0.736557 409
ADVN.SW 170.000000 730000.000000 124100000.000000 19939000.000000 0.000000 104161000.000000 0.016463 1.646341 13.792229 -0.273765 0.227067 2.857697 0.634333 0.634333 0.000000 159.382292 159.382292 51.225743 -11.925999 0.520994 0.060263 0.052606 0.048754 0.073217 0.053385 0.069692 0.081800 0.926783 0.872941 0.060263 0.221780 0.284984 None None 57.995946 None 1.284984 None 7.125324 2.290091 2.888268 1.094980 9.037671 -2.890411 27.313699 0.037056 -0.319818 None None -0.757680 -0.757680 0.946126 0.946126 0.672427 13.792229 -56.739336 18.146268 18.146268 -0.273765 0.672427 0.016463 5.269242 0.946126 410
ADXN 10.109700 4404712.000000 44530316.906400 18695040.000000 0.000000 25835276.906400 None None -3.305074 -0.251977 None 5.382836 5.200213 5.163396 6.532184 0.000000 1.610676 268.540994 -262.008809 -0.105870 -2.964357 -3.195262 -3.195262 0.000000 -0.604875 -0.653866 -0.683848 1.000000 1.077894 -2.964357 0.276091 0.381388 None None -337.695530 None 1.381388 55.877174 1.359197 None 6.034538 0.189304 -0.411468 -0.423103 4.217747 -0.479037 1.028276 None None 33.971656 None 2.761610 2.761610 10.560578 -3.305074 -21.439236 -22.045446 -22.045446 -0.251977 10.560578 None -1.978025 2.761610 411
ADXS 0.295000 61634031.000000 18182039.145000 25178000.000000 962000.000000 -6033960.855000 None None -1.490545 0.024976 None 9.932346 9.314509 9.314509 0.000000 None None None None 0.000000 -12.078284 -12.085255 -12.112064 -0.002218 -0.491632 -0.671004 -0.531650 1.002218 1.000577 -12.078284 0.182210 0.222808 None None None None 1.222808 None 0.000000 None 0.272940 0.040590 -0.202730 -0.211308 0.396908 -9.124933 1.042308 None -575.924735 23.636111 None 0.896073 0.896073 18.053582 -1.490545 -1.898181 -1.978489 -1.978489 0.024976 18.053582 None -0.018523 0.896073 412
ADYEN.AS 1719.500000 30246923.000000 52009584098.500000 2737486000.000000 0.000000 49272098098.500000 None None 654.818487 25.378841 None 1.368919 1.007243 1.002760 0.000000 8.021311 8.021311 3.409098 -1.431241 0.219353 0.089260 0.084400 0.066497 0.212116 0.018221 0.081370 0.071198 0.787884 0.945549 0.089260 0.707071 2.413796 None None 96.404739 None 3.413796 None 107.066442 45.503786 7.118264 0.274007 5.253612 4.939370 93.383638 0.135763 0.940186 None None -16.718362 None 40.730820 40.730820 43.543499 654.818487 341.136651 320.731741 320.731741 25.378841 43.543499 None 432.131993 40.730820 413
ADYEY 35.589499 1486646850.000000 52909016804.425179 2737486000.000000 0.000000 50171530804.425179 None None 686.454283 24.541996 None 1.368919 1.007243 1.002760 0.000000 8.021311 8.021311 3.409098 -1.431241 0.219353 0.089260 0.084400 0.066497 0.212116 0.018221 0.081370 0.071198 0.787884 0.945549 0.089260 0.707071 2.413796 None None 96.404739 None 3.413796 None 107.066442 45.503786 7.118264 0.274007 0.105072 0.098787 1.867673 0.135763 0.940186 None None -16.718362 None 42.698620 42.698620 45.647187 686.454283 357.617752 336.227034 336.227034 24.541996 45.647187 None 454.228437 42.698620 414
AE 24.209999 4242000.000000 102698815.758000 39293000.000000 100000.000000 63505815.758000 0.035808 3.580753 7.474410 -0.084797 0.267640 1.524244 1.217406 0.395196 45.043055 11.046093 22.152600 46.173752 1.592997 0.028971 0.018145 0.018055 0.015315 0.151768 0.045832 0.103944 0.098576 0.848232 0.995068 0.018145 0.545543 1.200428 None None 35.105058 None 2.200428 8.103358 7.904924 33.043356 10.104311 2.992567 0.670749 -0.027791 13.891898 0.002864 -0.041433 None None -0.960216 -0.960216 0.753791 0.753791 0.114472 7.474410 -964.705593 39.970246 39.970246 -0.084797 0.114472 0.035808 1.474588 0.753791 416
AEE 72.720001 245600000.000000 17860032245.599998 139000000.000000 11576000000.000000 29297032245.599998 0.024564 2.456371 22.216184 4.243841 0.545712 0.790204 0.321196 0.002601 45.316723 57.625085 68.799071 71.692022 -12.166374 0.500338 0.232264 0.190034 0.161824 0.143111 0.029217 0.110109 0.045109 0.851556 0.818182 0.232264 0.717070 2.570179 0.557533 0.575932 3.227700 0.112846 3.584281 8.054422 5.091222 6.334047 0.216794 0.180548 5.511006 -6.092767 0.023585 0.236824 -1.105563 0.112846 1.562988 -0.474932 -0.474932 2.326531 2.326531 3.595119 22.216184 -13.731035 15.180531 15.180531 4.243841 3.595119 0.024564 13.283841 2.326531 419
AEG.L 0.525000 1201906951.000000 631001149.275000 397323.000000 18190732.000000 648794558.275000 None None -323.610312 -9.414118 None 0.586118 0.046325 0.046325 0.000000 None None None None 1.000000 -0.924434 -2.410391 -1.813177 0.279968 -0.114573 -5.658296 -0.066802 0.752234 2.607423 -0.924434 0.991065 110.915685 0.989481 None -0.866003 None 111.915685 None 0.000000 0.000000 0.140673 0.063189 0.000731 -0.001290 0.000113 0.597016 -1.765779 None None -0.361562 None 4149.488824 4149.488824 586.762885 -323.610312 -556.596584 982.826337 982.826337 -9.414118 586.762885 None -744.264025 4149.488824 420
AEGN 18.370001 30731882.000000 564544703.071882 94848000.000000 219799000.000000 689495703.071882 None None -31.301030 0.566802 None 2.136522 1.354387 0.424610 106.259856 33.241279 59.442339 34.433277 80.023059 0.269810 0.072881 0.043460 -0.041894 0.165721 -0.033064 -0.072494 0.076398 -0.963957 0.596319 0.072881 0.539105 1.196622 0.317819 0.349921 4.603998 0.556773 2.219643 3.434975 10.600211 10.980324 4.888957 0.789218 3.912620 3.474635 3.040563 0.171081 0.888059 0.556773 4.140147 -8.933239 None 2.297157 2.297157 1.311326 -31.301030 8.631121 7.664941 7.664941 0.566802 1.311326 None 13.388751 2.297157 421
AEHR 1.960000 22882000.000000 44848720.000000 5433000.000000 1679000.000000 41094720.000000 None None -9.029885 -0.188807 None 2.368543 1.079294 0.685574 77.987044 294.650048 313.879730 38.372701 112.267779 0.188850 -0.428892 -0.443345 -0.429603 0.030288 -0.289609 -0.459025 -0.455922 0.969005 1.033698 -0.428892 0.444974 0.801717 0.017522 0.226998 -455162.000000 -0.324539 1.801717 4.680265 9.511971 1.238758 5.350840 0.674131 -0.042476 -0.045460 0.201403 -0.078465 1.070246 -0.324539 -0.345524 42.995353 None 4.711731 4.711731 3.879270 -9.029885 -46.194349 -49.439332 -49.439332 -0.188807 3.879270 None -9.146652 4.711731 423
AEI 6.310000 6400000.000000 40384000.000000 22124491.000000 2335276.000000 20594785.000000 None None -10.003837 -0.196538 None 10.550171 9.471042 2.849985 50.831479 2.720170 15.253960 46.906600 4.595607 0.255732 -0.102786 -0.240093 -0.147349 -0.002191 -0.023159 -0.071366 -0.017467 0.613715 2.335859 -0.102786 0.083169 0.150482 0.011022 0.039290 -11.296730 0.885071 1.809355 7.180590 7.781421 134.182773 24.598898 0.157169 0.322951 0.319564 11.134764 0.127285 0.989514 0.885071 1.216592 -95.362462 None 0.419185 0.419185 1.474055 -10.003837 11.703432 11.580706 11.580706 -0.196538 1.474055 None -2.521227 0.419185 424
AEIS 102.580002 38314000.000000 3930250196.628000 480368000.000000 322046000.000000 3771928196.628000 0.003201 0.320068 26.641800 0.248852 0.085272 3.307216 2.439309 1.620691 61.867369 92.443095 107.698063 52.298637 32.362920 0.382723 0.133624 0.111699 0.095121 0.145409 0.081737 0.180402 0.140009 0.851581 0.835921 0.133624 0.505153 1.021581 0.272090 0.283295 None 0.624867 2.022319 5.899717 6.979149 3.948375 6.477115 0.859294 5.256949 4.303892 12.618130 0.142133 0.818705 0.624867 11.499200 -5.515884 -5.515884 4.403845 4.403845 2.534199 26.641800 21.777961 17.829734 17.829734 0.248852 2.534199 0.003201 14.473653 4.403845 425
AEL 29.190001 92904000.000000 2711867852.904000 9095522000.000000 1069448000.000000 -5314206147.096001 0.010256 1.025641 4.316869 0.024972 0.044276 8.583345 53.446095 8.583345 0.084727 0.000000 0.020892 0.000000 0.084727 0.373818 -0.098900 0.219731 0.180818 0.177093 0.009406 0.126225 -0.005222 0.822907 -2.221754 -0.098900 0.907904 9.858214 0.080266 0.139904 -0.233273 1.220243 10.858214 4307.958237 None None None 0.052017 14.046607 13.904095 609.601470 0.351421 0.989854 1.220243 2.632782 -98.563897 -98.563900 0.440871 0.440871 0.780567 4.316869 2.243943 2.221177 2.221177 0.024972 0.780567 0.010256 14.054180 0.440871 426
AEM 69.849998 238230000.000000 16640365023.539999 402527000.000000 1925241000.000000 18163079023.540001 0.015710 1.570980 25.376862 3.123546 0.398665 2.299050 0.484453 0.277784 9.510146 121.603766 123.948733 65.832299 -26.337663 0.409023 0.285020 0.286365 0.196823 0.312688 0.070065 0.121181 0.106539 0.687312 1.004719 0.285020 0.404436 0.679079 0.215830 None 9.729452 None 1.679079 38.380062 5.544391 3.001552 0.452282 0.355982 5.709869 2.525656 0.543959 0.407302 0.442332 None None -1.793180 -1.793180 2.985462 2.985462 4.994738 25.376862 27.723493 12.262977 12.262977 3.123546 4.994738 0.015710 11.317674 2.985462 427
AEMD 1.400000 3414840.000000 4780776.000000 9604780.000000 0.000000 -4824004.000000 None None -2.628763 -0.041507 None 9.973001 9.911629 9.818676 50.408712 None None None None 0.000000 -8.911239 -8.913078 -8.906500 0.000000 -0.584593 -0.592537 -0.648108 0.999262 1.000206 -8.911239 0.097521 0.106795 None None -232.912782 None 1.095099 7.240812 0.000000 None 3.592209 0.065637 -0.508268 -0.513083 1.003161 -7.391371 1.009474 None -6.886316 80.834613 None 1.682901 1.682901 23.413073 -2.628763 -3.137895 -3.167623 -3.167623 -0.041507 23.413073 None -1.116388 1.682901 429
AEO 26.200001 166185000.000000 4354047166.185000 850477000.000000 653914000.000000 4157484166.185000 0.011310 1.131018 -14.394720 0.067739 -0.162807 1.773646 1.160862 0.990675 8.565341 33.868251 35.980253 21.377232 -4.460816 0.298177 -0.086624 -0.093644 -0.067794 0.276048 -0.122883 -0.406849 -0.209335 0.723952 1.081040 -0.086624 0.683631 2.160869 0.230383 0.375688 21.914506 0.293776 3.160869 42.613599 17.074240 10.777055 9.980526 1.812601 1.155965 -0.173505 5.117652 0.030855 -0.150096 0.293776 0.584571 -0.870959 -0.870959 5.591165 5.591165 0.975874 -14.394720 -210.713866 31.627262 31.627262 0.067739 0.975874 0.011310 -23.456406 5.591165 433
AEP 80.910004 496177968.000000 40145761375.591873 392000000.000000 3973000000.000000 43726761375.591873 0.033656 3.365606 18.949296 1.375671 0.637759 0.416669 0.246407 0.026732 48.330917 364.971305 376.888517 488.933569 -350.609727 0.917678 0.197112 0.144619 0.147286 0.021480 0.027424 0.111155 0.041857 1.018437 0.733690 0.197112 0.744291 2.945010 0.590276 0.627919 2.618605 0.001076 3.956796 7.552102 0.746523 1.000079 0.235848 0.186197 0.076651 0.570355 0.950190 0.002466 7.440945 0.001076 0.007357 0.155257 0.155257 2.056226 2.056226 2.790961 18.949296 152.115722 1131.884703 1131.884703 1.375671 2.790961 0.033656 23.350445 2.056226 434
AEP.L 550.000000 39636000.000000 21799800000.000000 84846000.000000 0.000000 21714954000.000000 0.000593 0.059345 1784.585987 43.467200 1.059067 6.431757 3.654610 3.654610 0.000000 24.448394 24.448394 31.456409 -25.428037 0.122185 0.065520 0.096390 0.065731 0.241685 0.027321 0.038547 0.028540 0.681923 1.471148 0.065520 0.097245 0.133012 None None 13.370029 None 1.367805 None 11.603359 14.929406 0.639614 0.415645 0.382190 -0.436440 2.307044 0.066714 -1.141945 None None -0.466865 -0.466865 66.688680 66.688680 117.302036 1784.585987 -1539.729287 1758.285771 1758.285771 43.467200 117.302036 0.000593 804.167172 66.688680 435
AER 38.240002 135898140.000000 5196745145.396279 1248772000.000000 28742081000.000000 32690054145.396278 None None -21.178973 0.168007 None 1.040218 0.933130 0.571039 78.960647 0.000000 19.469749 59.041346 19.919301 0.644879 0.476102 -0.087393 -0.081871 0.056171 -0.008258 -0.038121 0.051101 0.936814 -0.183559 0.476102 0.781119 3.595203 0.757529 None 3.361937 None 4.602633 4.622556 6.182108 None 0.115068 0.100864 14.905701 8.145911 11.345051 0.448242 0.546496 None None -2.173095 None 0.804965 0.804965 1.733943 -21.178973 7.078398 3.868319 3.868319 0.168007 1.733943 None 9.451717 0.804965 436
AERI 17.190001 45945745.000000 789807402.495745 151570000.000000 212704000.000000 850941402.495745 None None -4.562790 -0.557415 None 3.144435 2.724326 1.314157 196.401297 398.529741 446.957458 91.738946 202.929958 0.697541 -1.701925 -1.989425 -2.051325 -0.031115 -0.485036 -4.304008 -0.541902 1.031115 1.168926 -1.701925 1.028583 -35.985340 1.050399 None -5.405859 None -34.985340 1.858440 3.978681 0.915866 1.289264 0.236450 -1.147757 -1.204839 4.515466 -0.617044 1.049734 None None 20.107143 None -77.426609 -77.426609 9.359766 -4.562790 -14.450068 -15.168722 -15.168722 -0.557415 9.359766 None -8.067628 -77.426609 437
AES 24.389999 662500000.000000 16158374337.500000 1089000000.000000 19881000000.000000 34950374337.500000 0.023139 2.313903 -68.738780 0.810765 -1.590549 1.242183 0.680143 0.375622 49.194537 22.905586 35.035746 42.729703 12.112786 0.286231 0.268856 0.017776 -0.024706 0.762712 -0.006988 -0.093920 0.088695 -1.389831 0.066119 0.268856 0.838991 8.745928 0.844778 0.854821 2.690452 0.132519 10.424341 7.419523 8.542067 15.934978 0.442573 0.282845 3.956456 1.319820 3.112613 0.264638 0.333586 0.132519 1.750831 -1.500569 -1.500569 5.007326 5.007326 1.698277 -68.738780 19.237474 6.417359 6.417359 0.810765 1.698277 0.023139 9.303769 5.007326 438
AESE 1.860000 28687361.000000 53358491.460000 424223.000000 4906397.000000 57840665.460000 None None -1.479377 0.008671 None 0.652017 0.036762 0.022428 30.823058 0.000000 7.600206 29.166266 1.656793 5.774419 -6.451569 -14.484616 -14.033499 -0.000000 -0.727924 -1.111545 -0.481902 0.968855 2.245131 -6.451569 0.460334 0.852998 0.115621 0.128064 -3.733337 -1.054552 1.852998 11.841784 12.514458 None 0.346151 0.051870 -0.174644 0.014227 0.014319 -1.611450 -0.081465 -1.054552 -9.598373 -0.924671 None 1.995445 1.995445 20.760837 -1.479377 158.144841 -12.883329 -12.883329 0.008671 20.760837 None -4.020707 1.995445 439
AEX.L 1.050000 3757787000.000000 3945676350.000000 694000.000000 0.000000 3944982350.000000 None None -115.683131 -1.672376 None 0.712196 0.058502 0.058502 0.000000 0.000000 0.000000 4518.922210 -4518.922210 -1.627370 -8.066351 -55.806872 -55.806872 0.000000 -0.375187 -0.444290 -0.072674 1.000000 6.918478 -8.066351 0.268998 0.367985 None None -43.922581 None 1.367985 None 0.080771 None 0.008206 0.006723 -0.000702 -0.001123 0.000248 -6.251185 1.599223 None None 1.668828 None 59.374427 59.374427 6455.913685 -115.683131 -645.782655 -1032.750408 -1032.750408 -1.672376 6455.913685 None -848.563195 59.374427 443
AEY 1.880000 11079580.000000 20829610.400000 8265000.000000 6949000.000000 19513610.400000 None None -0.001873 0.000008 None 1.778801 1.116621 0.478261 0.219344 0.182227 0.236311 0.103659 0.160618 -0.035552 -1.226269 -1.222496 -1.222393 0.000084 -489.272571 -3.971584 -787.583817 0.999916 0.996923 -1.226269 0.527076 1.114505 0.050318 0.287846 -247.829418 -349.670218 2.114505 1664.049732 3521.149621 2003.001590 1989.078845 400.258067 -164.880435 -169.497947 0.444535 -0.166992 1.028005 -349.670218 -402.422797 35.830487 None 1.937244 1.937244 0.002289 -0.001873 -0.013333 -0.013707 -0.013707 0.000008 0.002289 None -0.001921 1.937244 446
AEYE 23.920000 8107181.000000 193923769.520000 9095000.000000 1302000.000000 186130769.520000 None None -27.488623 3.062041 None 3.130596 3.062571 2.658845 65.080220 0.000000 16.047178 171.051885 -105.971665 0.727570 -0.249694 -0.249830 -0.249830 0.000000 -0.161717 -0.572863 -0.226332 1.000000 1.000547 -0.249694 0.324537 0.480465 None None -55.492535 None 1.480465 5.608463 2.133855 None 333.363636 0.647308 -0.127864 -0.252957 2.752904 -0.054540 1.978333 None None 1.022147 None 6.581232 6.581232 6.867489 -27.488623 -63.647220 -125.915417 -125.915417 3.062041 6.867489 None -29.551678 6.581232 447
AEZS 1.110000 17494472.000000 19418863.920000 7838000.000000 0.000000 11580863.920000 None None -9.567375 0.039864 None 12.974958 12.569282 12.101280 84.053943 58.444109 79.169739 48.519637 49.945182 0.365553 -1.660460 -1.293264 -1.401424 -0.083633 -0.158594 -1.337777 -0.198989 1.083633 0.778859 -1.660460 0.530600 1.130380 None None -404.266667 None 2.130380 4.342449 7.522727 6.245283 18.632653 0.113167 -0.118250 -0.118250 0.386860 -1.820099 1.000000 None None None None 3.232494 3.232494 13.407948 -9.567375 -7.366605 -7.366605 -7.366605 0.039864 13.407948 None -4.667323 3.232494 448
AF.PA 4.879000 427432464.000000 2085442991.856000 6423000000.000000 11978000000.000000 7640442991.856000 None None -0.278026 0.000109 None 0.840126 0.569961 0.545339 0.000000 17.876342 17.876342 47.242266 -42.834401 0.000090 -0.418831 -0.624820 -0.638348 -0.014001 -0.234286 2.265685 -0.251939 1.021651 1.491817 -0.418831 1.179339 -6.565137 1.929918 1.828423 -7.714286 -0.235933 -5.566796 None 7.726132 20.418048 0.642522 0.367019 -6.621721 -11.539978 15.729517 -0.254870 1.742746 -0.235933 -3.952448 1.346355 None -0.362607 -0.362607 0.177477 -0.278026 -0.399567 -0.696345 -0.696345 0.000109 0.177477 None -4.214493 -0.362607 449
AFBI 10.670000 7531707.000000 80363313.690000 178253.000000 0.000000 80185060.690000 None None 32.357513 138.427863 None None None None 7.057088 None None None None 1.000000 0.126665 0.126665 0.100810 0.204124 3.630259 0.155777 None 0.795876 1.000000 0.126665 0.905029 9.529529 None None -2.724585 None 10.529529 51.721052 None None None 36.011041 0.171375 0.171375 0.022282 0.044757 1.000000 None None None None 1236.863279 1236.863279 3.261948 32.357513 72.881109 72.881109 72.881109 138.427863 3.261948 None 69.472700 1236.863279 452
AFC.L 37.700001 528865765.000000 19938239869.365765 31301467.000000 0.000000 19906938402.365765 None None -7102.037688 402.448802 None 24.340162 23.182374 23.182374 0.000000 12525.982247 12525.982247 17438.375421 -14349.777059 -74.105943 -40464.640827 -40872.245478 -33275.289406 0.185871 -0.092453 -0.292593 -0.116964 0.814129 1.010073 -40464.640827 0.051628 0.054438 None None -293.189096 None 1.054438 None 0.020931 0.029139 0.000081 0.000003 -0.006744 -0.007616 0.074879 -29140.483204 1.129218 None None 7.738843 None 692.351312 692.351312 236322359.439855 -7102.037688 -7181.748030 -8109.761179 -8109.761179 402.448802 236322359.439855 None -6213.033383 692.351312 453
AFG 94.139999 86345246.000000 8128541372.094754 2810000000.000000 7173000000.000000 12491541372.094753 0.030345 3.034493 7.700829 -0.418645 0.233681 8.982545 3.673863 0.388379 227.574891 None None None None 0.313860 0.000096 0.195277 0.180485 0.177594 0.019570 0.223901 0.000011 0.924252 2024.484536 0.000096 0.909902 10.099028 0.226989 None 0.008168 None 11.099028 1.603868 0.000000 None None 0.108428 26.519208 26.519208 127.823050 0.283157 1.000000 None None -43.807692 -43.807696 1.672641 1.672641 1.389882 7.700829 4.908518 4.908518 4.908518 -0.418645 1.389882 0.030345 221.214520 1.672641 455
AFHP.L 332.500000 42495124.000000 14129628730.000000 13111000.000000 25783000.000000 14142300730.000000 0.012632 1.263158 2103.006684 -2882.036746 26.564295 1.686175 0.515674 0.515674 0.000000 0.000000 0.000000 75.073896 -75.073896 0.535690 0.182344 0.178785 0.140287 0.215332 0.065218 0.118292 0.102474 0.784668 0.980482 0.182344 0.404597 0.679536 0.227345 None 40.050562 None 1.679536 None 4.861876 None 11.491224 0.464893 0.076691 -0.100341 0.308530 0.047633 -1.308377 None None -0.433205 -0.433205 230.356103 230.356103 295.024155 2103.006684 -4733.861140 6193.674102 6193.674102 -2882.036746 295.024155 0.012632 1305.508986 230.356103 456
AFI 3.760000 21891892.000000 82313513.920000 13700000.000000 78800000.000000 147413513.920000 None None -5.770319 0.637621 None 1.699200 0.595200 0.133600 35.395798 88.680326 97.408057 58.198679 -0.936499 0.134622 -0.111933 -0.041176 -0.038992 0.053061 -0.047068 -0.095769 -0.181027 0.946939 0.367868 -0.111933 0.493406 0.973969 0.138669 0.172082 -6.403846 -0.749518 1.973969 10.311958 6.271620 4.115907 2.360175 1.207141 -1.775428 -2.793218 0.762202 -0.065378 1.573265 -0.749518 -3.324786 1.744395 None 0.536129 0.536129 0.224994 -5.770319 -2.187441 -3.441424 -3.441424 0.637621 0.224994 None -8.670328 0.536129 457
AFIB 25.889999 16080467.000000 416323274.549533 25234000.000000 50285000.000000 441374274.549533 None None -2.615811 0.516651 None 6.285908 5.305398 0.467273 86.335466 257.023155 278.311352 113.456489 36.254550 -0.555516 -6.822463 -8.010808 -8.013004 -0.000274 -0.518149 -2.905622 -0.497960 1.000274 1.174181 -6.822463 0.380899 0.615244 0.281798 None -12.896179 None 1.615244 4.227695 3.217092 1.420106 0.714910 0.064664 -5.838388 -6.661436 5.940064 -8.965241 1.140972 None None 7.093615 None 2.189270 2.189270 20.960502 -2.615811 -2.049108 -2.337974 -2.337974 0.516651 20.960502 None -3.733987 2.189270 458
AFIN 7.280000 106397296.000000 774572314.880000 102860000.000000 1771655000.000000 2443367314.880000 0.075292 7.529162 -33.999098 0.037852 -2.559847 0.584149 0.464913 0.256581 80.549336 0.000000 19.861480 206.874076 -126.324741 0.827486 0.186318 -0.097200 -0.097067 0.000000 -0.008341 -0.018416 0.017615 0.998639 -0.521687 0.186318 0.531537 1.157557 0.473998 0.517087 0.733592 0.058133 2.177754 4.531384 1.764358 None 16.819401 0.085935 0.950408 0.887726 0.776620 0.332613 0.934047 0.058133 0.366945 -1.082575 -1.082575 0.617613 0.617613 3.300199 -33.999098 10.622643 9.922053 9.922053 0.037852 3.300199 0.075292 14.671536 0.617613 459
AFL 45.180000 711698000.000000 32154515640.000000 5141000000.000000 15644000000.000000 42657515640.000000 0.026582 2.658161 7.060801 0.140270 0.187687 17.716246 13.169016 0.616963 12.428459 None None None None 0.509663 0.000055 0.221000 0.241290 -0.091810 0.034814 0.172655 0.000008 1.091810 4034.400000 0.000055 0.797018 3.926549 0.198227 None 0.005020 None 4.926549 29.368082 None None 39.479239 0.144281 8.578421 8.578421 153.473898 0.258995 1.000000 None None None None 1.211001 1.211001 1.703702 7.060801 6.578134 6.578134 6.578134 0.140270 1.703702 0.026582 16973.933174 1.211001 460
