# tag pbvalue
AMNB 1.108000
AMNF 4.862000
AMOT 3.426000
AMOV 4.499000
AMP 5.485000
AMPE 21.350000
AMPG 3.922000
AMPH 2.251000
AMPI 1.309000
AMR 2.043000
AMRB 1.228000
AMRC 4.412000
AMRK 1.869000
AMRN 2.874000
AMRX 2.578000
AMS.L 0.786000
AMS 0.786000
AMS 0.786000
AMS.SW 0.786000
AMSC 3.392000
AMSF 2.804000
AMSIY 1.951000
AMSSY 1.312000
AMST 3.698000
AMSWA 5.474000
AMT 29.750000
AMTB 1.141000
AMTBB 0.835300
AMTI 16.590000
AMWD 1.978000
AMWL 2.521000
AMX 4.564000
AMYT 7.754000
AMYT.L 7.754000
AMZN 15.830000
AN 2.593000
ANAB 1.743000
ANAT 0.624600
ANDA 3.957000
ANDE 1.048000
ANET 7.465000
ANF 2.915000
ANGI 5.889000
ANGN 5.063000
ANGO 1.965000
ANGPY 6.164000
ANIK 2.335000
ANIOY 1.948000
ANIP 2.109000
ANIX 9.291000
ANNX 2.704000
ANPC 129.020000
ANPDY 14.930000
ANSLY 2.727000
ANSS 7.129000
ANTE 1.930000
ANTM 2.877000
ANVS 71.350000
ANZBY 1.327000
ANZU 1.346000
AON 13.440000
AONE 1.456000
AONNY 2.435000
AOS 6.186000
AOSL 2.449000
AOUT 1.652000
AOZOY 0.562900
AP 1.608000
APAM.AS 22.100000
APAM 22.100000
APD 5.193000
APDN 2.399000
APEI 1.309000
APELY 0.722400
APEN 70.930000
APG 2.354000
APH.L 7.356000
APH 7.356000
API 5.406000
APLE 1.194000
APLS 88.810000
APLS.L 88.810000
APLT 3.767000
APM 2.315000
APNHY 1.183000
APO 9.715000
APOG 1.986000
APOP 2.683000
APPF 16.080000
APPH 3.715000
APPN 21.300000
APPS 52.750000
APRE 1.278000
APRN 1.787000
APSG 1.264000
APT 1.800000
APTO 4.244000
APTS 0.352300
APTV 5.052000
APTX 1.181000
APVO 10.380000
APWC 0.358100
APXT 1.615000
APYX 5.625000
AQB 1.656000
AQMS 5.609000
AQN 1.842000
AQSP 1.873000
AQUA 7.141000
AR 0.688300
ARAV 1.602000
ARAY 4.878000
ARBG 1.310000
ARC 0.592100
ARCB 2.351000
